name,score,k
small125.in,59788.00700880904,10
small126.in,4524.283972521378,8
small127.in,51267.464450791966,11
small128.in,161334.49323151435,11
small129.in,98496.14243574018,11
small13.in,339142.3688118974,13
small130.in,132604.96994474038,11
small131.in,27666.56755868306,9
small132.in,160717.49323151432,11
small133.in,4009.180718494472,8
small134.in,134502.49323151432,11
small135.in,138242.48815646346,11
small136.in,6977.369694447527,8
small137.in,91835.48951581027,11
small138.in,55727.28806142062,11
small139.in,50355.55792167091,11
small14.in,13928.509366431344,8
small140.in,1219.2493960703473,5
small141.in,4402.547818366504,6
small142.in,35349.09830685023,9
small143.in,3801.200386104065,7
small144.in,251016.01581064696,12
small145.in,5462.506101865785,8
small146.in,31193.870601390787,11
small147.in,72714.49323151434,11
small148.in,36481.94754983773,8
small149.in,23425.658154296754,9
small15.in,2010.7977605131969,6
small150.in,87121.90918776828,12
small151.in,152255.7311602446,12
small152.in,5462.506101865784,8
small153.in,402517.3688118974,13
small154.in,24842.31591025766,10
small155.in,10405.115776315954,8
small156.in,345754.3688118974,13
small157.in,100226.23093366552,11
small158.in,31842.31591025766,11
small159.in,36276.30885954619,8
small16.in,402517.3688118974,13
small160.in,25842.31591025766,10
small161.in,1151.1546722274395,4
small162.in,1219.2493960703473,6
small163.in,132382.48951581027,11
small164.in,16953.870601390794,10
small165.in,92295.90918776828,11
small166.in,69878.41295349333,10
small167.in,17164.055979582467,9
small168.in,131885.01581064696,12
small169.in,131828.90918776827,12
small17.in,2013.58953437996,6
small170.in,57504.46445079199,10
small171.in,168392.4716293263,12
small172.in,6479.186328935444,8
small173.in,2010.797760513212,6
small174.in,94765.90918776828,11
small175.in,83420.49323151434,11
small176.in,3313.8538391484426,7
small177.in,5462.506101865778,8
small178.in,4995.143215233567,6
small179.in,359317.3688118974,13
small18.in,17662.41405005809,9
small180.in,2010.7977605132005,6
small181.in,274.5192813972861,2
small182.in,164653.01581064696,12
small183.in,739.905609893065,4
small184.in,163581.01581064696,12
small185.in,4990.205439535436,6
small186.in,5568.506101865781,8
small187.in,143111.01581064696,12
small188.in,389528.3688118974,13
small189.in,13912.700312135628,8
small19.in,263105.01581064693,12
small190.in,209273.01581064696,12
small191.in,272.8281828459045,2
small192.in,20134.31591025766,10
small193.in,6377.954320584039,8
